Mobile App - Production,,,
Policy and Claim Summary,,,
Product,Measures,17-Jun,2017
Aviation,Earned Premium,-966,1494
Aviation,Incurred Loss,57695.98,1559531.25
Aviation,Loss Reserves,-39236.24,-413813.44
Aviation,Paid Loss,118713.53,1355409.16
Aviation,Policy Count,523,3340
Aviation,Recovery Amount,7376,101553.12
Aviation,Written Premium,2066704,13961828.1
Casualty,Earned Premium,7826787.918,44888518.23
Casualty,Incurred Loss,6935584.87,20864397.93
Casualty,Loss Reserves,211189.35,-1902523.53
Casualty,Paid Loss,6747326.91,22816124.39
Casualty,Policy Count,324,1874
Casualty,Recovery Amount,23904.39,51514.63
Casualty,Written Premium,12400212.99,63798054.88
CIS,Earned Premium,6102198.28,36436441.77
CIS,Incurred Loss,1742504.76,21951727.46
CIS,Loss Reserves,-815393.28,113832.53
CIS,Paid Loss,2663636.35,22226102.61
CIS,Policy Count,2263,15239
CIS,Recovery Amount,106279.87,415150.25
CIS,Written Premium,6440548,46217330
E&S Property,Earned Premium,2490620.19,12862355.07
E&S Property,Incurred Loss,808274.27,419910.52
E&S Property,Loss Reserves,523451.37,-3318079.98
E&S Property,Paid Loss,284822.9,5853553.5
E&S Property,Policy Count,111,731
E&S Property,Recovery Amount,,2115563
E&S Property,Written Premium,2766618,23230494
Financial Lines,Earned Premium,107424.19,269081.16
Financial Lines,Policy Count,23,111
Financial Lines,Written Premium,346660,1789879
Medical Professional Liability,Earned Premium,1398883.659,6384710.938
Medical Professional Liability,Incurred Loss,,3
Medical Professional Liability,Loss Reserves,,3
Medical Professional Liability,Policy Count,101,612
Medical Professional Liability,Written Premium,3003988,18409318
Specialty Personal Lines,Earned Premium,39165.38,22591757.65
Specialty Personal Lines,Incurred Loss,1273420.32,9132824.34
Specialty Personal Lines,Loss Reserves,-784266.91,-3149669.09
Specialty Personal Lines,Paid Loss,2152030.87,12883574.63
Specialty Personal Lines,Policy Count,11016,85984
Specialty Personal Lines,Recovery Amount,94343.64,601081.2
Specialty Personal Lines,Written Premium,4411368.25,35220146.28
